direction_group,layer,seed,signal_scale,sae_latents,l1_coef,condition,mean_recovery,median_recovery,min_recovery,max_recovery,frac_recovered,mean_snr
weak,4,2,0.02,2048,0.001,delta_K2048,0.9836455126468474,0.989007151363956,0.951648035661993,0.9931016774327232,1.0,3.4219999999999997
weak,4,2,0.02,2048,0.001,random_label_control,0.03587591466390018,0.03690901814826779,0.025538595695683283,0.04469466703603813,0.0,3.4219999999999997
weak,4,2,0.02,2048,0.001,random_pair_delta_control,0.05935970290473987,0.056773238920650615,0.05345714695288006,0.07357899162406406,0.0,3.4219999999999997
weak,4,0,0.05,512,0.001,standard_L1_K512_mixed,0.05478056005161204,0.053094511669289114,0.04695953148923927,0.07601829989373764,0.0,3.4219999999999997
weak,4,0,0.05,512,0.001,topK20_K512_mixed,0.05202944277348228,0.04998941368933245,0.04096259299164376,0.07831695461356869,0.0,3.4219999999999997
weak,4,0,0.05,512,0.001,delta_K512,0.9936149397037916,0.993604597066593,0.9927030632989133,0.9943099336992045,1.0,3.4219999999999997
weak,4,0,0.05,512,0.001,random_label_control,0.039011192637989044,0.03619000232378672,0.01972808434076727,0.0640124678172675,0.0,3.4219999999999997
weak,4,0,0.05,512,0.001,random_pair_delta_control,0.054462189969434596,0.05254485294744073,0.04476027405408505,0.07306357506059728,0.0,3.4219999999999997
weak,4,1,0.05,512,0.001,standard_L1_K512_mixed,0.05365719821260902,0.05153811799361602,0.04505841589660844,0.06237917833680371,0.0,3.4219999999999997
weak,4,1,0.05,512,0.001,topK20_K512_mixed,0.05518628361574625,0.05494802536672633,0.04502320707301407,0.06365480242962655,0.0,3.4219999999999997
weak,4,1,0.05,512,0.001,delta_K512,0.9939796620415843,0.9939473346818839,0.9936034950360407,0.994377758296064,1.0,3.4219999999999997
weak,4,1,0.05,512,0.001,random_label_control,0.039668171506338994,0.040489059557374356,0.029228998312268904,0.057489796188101086,0.0,3.4219999999999997
weak,4,1,0.05,512,0.001,random_pair_delta_control,0.055333883027274634,0.05390140292543341,0.046823948870361023,0.0692684522549742,0.0,3.4219999999999997
weak,4,2,0.05,512,0.001,standard_L1_K512_mixed,0.05241944032637521,0.0498416741036762,0.043269004135704135,0.07670583868178557,0.0,3.4219999999999997
weak,4,2,0.05,512,0.001,topK20_K512_mixed,0.05622071066447966,0.054181353457634765,0.045739088748514,0.07888884477307262,0.0,3.4219999999999997
weak,4,2,0.05,512,0.001,delta_K512,0.9935562624438941,0.9935943406677945,0.9930602428439294,0.9939148685981162,1.0,3.4219999999999997
weak,4,2,0.05,512,0.001,random_label_control,0.039826735493531724,0.03741437495897136,0.027197482346584565,0.059806472420790166,0.0,3.4219999999999997
weak,4,2,0.05,512,0.001,random_pair_delta_control,0.05159141780643352,0.04989251630723428,0.04490114838310541,0.06336323503464951,0.0,3.4219999999999997
weak,4,0,0.05,2048,0.001,standard_L1_K2048_mixed,0.05822759492195517,0.05632165957294787,0.048946908996380205,0.0725578517479805,0.0,3.4219999999999997
weak,4,0,0.05,2048,0.001,topK20_K2048_mixed,0.060543580919158714,0.05943844057507109,0.05202963295430395,0.07591317181019373,0.0,3.4219999999999997
weak,4,0,0.05,2048,0.001,delta_K2048,0.9939748984024952,0.9939234886341355,0.9933164696328712,0.9948359271128626,1.0,3.4219999999999997
weak,4,0,0.05,2048,0.001,random_label_control,0.04460485245940033,0.04345251258840536,0.030286104675814014,0.07286053479438218,0.0,3.4219999999999997
weak,4,0,0.05,2048,0.001,random_pair_delta_control,0.05842413868701185,0.05895347670520576,0.042939865100278626,0.07392437871489924,0.0,3.4219999999999997
weak,4,1,0.05,2048,0.001,standard_L1_K2048_mixed,0.062029005164566574,0.06265936137864044,0.05277862959533192,0.06857206162794717,0.0,3.4219999999999997
weak,4,1,0.05,2048,0.001,topK20_K2048_mixed,0.07371843822089341,0.0748036061406947,0.054181353458070645,0.1006728518955515,0.0,3.4219999999999997
weak,4,1,0.05,2048,0.001,delta_K2048,0.994224253778496,0.994144867184993,0.9938649732220538,0.9947054662973285,1.0,3.4219999999999997
weak,4,1,0.05,2048,0.001,random_label_control,0.04130137108559343,0.0410627274939175,0.028664768745451385,0.051327685546338146,0.0,3.4219999999999997
weak,4,1,0.05,2048,0.001,random_pair_delta_control,0.06763386382247509,0.06773051652827011,0.04840275578719972,0.07857169461076718,0.0,3.4219999999999997
weak,4,2,0.05,2048,0.001,standard_L1_K2048_mixed,0.05902810531263787,0.05907161306211846,0.05329887385467497,0.0702775549936655,0.0,3.4219999999999997
weak,4,2,0.05,2048,0.001,topK20_K2048_mixed,0.061365168526869254,0.05631145998735089,0.053407216922238675,0.07879251300159515,0.0,3.4219999999999997
weak,4,2,0.05,2048,0.001,delta_K2048,0.9937996849134312,0.9938273120046274,0.9929339831582361,0.994352699601715,1.0,3.4219999999999997
weak,4,2,0.05,2048,0.001,random_label_control,0.038331086590995204,0.0394022558008672,0.026865655306478442,0.04784048501129734,0.0,3.4219999999999997
weak,4,2,0.05,2048,0.001,random_pair_delta_control,0.06127320259302131,0.05851834201974608,0.05438528010624241,0.07875606964014889,0.0,3.4219999999999997
weak,4,0,0.1,512,0.001,standard_L1_K512_mixed,0.05442101140461979,0.052870368074934476,0.04617806080178504,0.07497952402962997,0.0,3.4219999999999997
weak,4,0,0.1,512,0.001,topK20_K512_mixed,0.053144626856450036,0.05413495442094965,0.045786834075880634,0.057596940071331794,0.0,3.4219999999999997
weak,4,0,0.1,512,0.001,delta_K512,0.9937551671911018,0.9937059610440122,0.9933822401547914,0.9943506824423854,1.0,3.4219999999999997
weak,4,0,0.1,512,0.001,random_label_control,0.04225593995498818,0.04188474505048524,0.022225684532389028,0.06401068394773589,0.0,3.4219999999999997
weak,4,0,0.1,512,0.001,random_pair_delta_control,0.05421069002543093,0.05086444090951006,0.045593600829700195,0.07384859505597134,0.0,3.4219999999999997
weak,4,1,0.1,512,0.001,standard_L1_K512_mixed,0.053125978963539724,0.050779599181433197,0.045021722599861716,0.06277354117894669,0.0,3.4219999999999997
weak,4,1,0.1,512,0.001,topK20_K512_mixed,0.054602129521561384,0.0549480253669814,0.03978175359098457,0.06669072807753539,0.0,3.4219999999999997
weak,4,1,0.1,512,0.001,delta_K512,0.9940166402732894,0.9940083250106245,0.9936552586518423,0.9944513119959183,1.0,3.4219999999999997
weak,4,1,0.1,512,0.001,random_label_control,0.03730670369629825,0.036453865050348616,0.02082160871541434,0.059795628516719074,0.0,3.4219999999999997
weak,4,1,0.1,512,0.001,random_pair_delta_control,0.05464868925646764,0.0524535213176283,0.04663268300321473,0.06974153218904437,0.0,3.4219999999999997
weak,4,2,0.1,512,0.001,standard_L1_K512_mixed,0.05226228631789116,0.04986564543858525,0.04349508734892584,0.07614040724483716,0.0,3.4219999999999997
weak,4,2,0.1,512,0.001,topK20_K512_mixed,0.0510064901258059,0.05250570991890115,0.040395357742488085,0.0568019455196743,0.0,3.4219999999999997
weak,4,2,0.1,512,0.001,delta_K512,0.9934622575229246,0.9934856097127551,0.992970563456576,0.9939423824705408,1.0,3.4219999999999997
weak,4,2,0.1,512,0.001,random_label_control,0.03656748893588015,0.03808306616839052,0.025583473133876725,0.04542065135873858,0.0,3.4219999999999997
weak,4,2,0.1,512,0.001,random_pair_delta_control,0.050886705345121186,0.04919820197287618,0.04402280501609186,0.062279362625440815,0.0,3.4219999999999997
weak,4,0,0.1,2048,0.001,standard_L1_K2048_mixed,0.05935303927766102,0.056790335117236454,0.048951614587130925,0.07725086286472142,0.0,3.4219999999999997
weak,4,0,0.1,2048,0.001,topK20_K2048_mixed,0.056596225128270096,0.05531111930552017,0.05139443234434745,0.06790593697340806,0.0,3.4219999999999997
weak,4,0,0.1,2048,0.001,delta_K2048,0.9937868940780797,0.9936904915263871,0.9935002654390247,0.9943936569782282,1.0,3.4219999999999997
