source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,topK20,Your TopK mixed,weak,10,512.0,0.05,,0.1689647643268108,0.1674320265650749,0.12551388293504712,0.21460744440555574,0.0,30
internal,topK20,Your TopK mixed,weak,10,2048.0,0.05,,0.18422304441531495,0.1800841093063354,0.1332403272390365,0.2896400153636932,0.0,30
public_sae,public_sae,Public JB SAE,weak,10,,,blocks.11.hook_resid_pre,0.36506105959415436,0.33288349211215973,0.2674401104450226,0.5553686022758484,0.8,10
internal,delta,Your paired delta,strong,10,512.0,0.05,,0.989031974474589,0.9922183632850647,0.9722372055053711,0.9987633228302002,1.0,18
internal,delta,Your paired delta,strong,10,2048.0,0.05,,0.6326139602396224,0.631124383211136,0.5284529447555542,0.7443595647811889,1.0,18
internal,rand_pair,Your random-pair,strong,10,512.0,0.05,,0.24746004723840287,0.2585861772298813,0.15840612351894373,0.3259561777114868,0.05555555555555555,18
internal,rand_pair,Your random-pair,strong,10,2048.0,0.05,,0.20269814779361084,0.19862838238477704,0.1524063557386398,0.2571644783020019,0.0,18
internal,std_L1,Your L1 mixed,strong,10,512.0,0.05,,0.3014763500955369,0.3119398325681686,0.22349848449230195,0.3966653823852539,0.5555555555555556,18
internal,std_L1,Your L1 mixed,strong,10,2048.0,0.05,,0.22967723525232733,0.2252669051289558,0.1546055138111114,0.2945666909217834,0.0,18
internal,topK20,Your TopK mixed,strong,10,512.0,0.05,,0.3170816113551458,0.30182895064353943,0.18647882938385005,0.7226616740226746,0.5,18
internal,topK20,Your TopK mixed,strong,10,2048.0,0.05,,0.3359923778308762,0.33404971361160274,0.2025176078081131,0.49308180809020985,0.7777777777777778,18
public_sae,public_sae,Public JB SAE,strong,10,,,blocks.11.hook_resid_pre,0.5635287761688232,0.5830846428871155,0.41105157136917114,0.6938856840133667,1.0,6
internal,delta,Your paired delta,random,10,512.0,0.05,,0.962470794916153,0.9660893738269807,0.9110775709152221,0.9999562740325928,1.0,30
internal,delta,Your paired delta,random,10,2048.0,0.05,,0.5460584086179734,0.5493213176727295,0.47025238871574404,0.6631577253341675,1.0,30
internal,rand_pair,Your random-pair,random,10,512.0,0.05,,0.11454572906096772,0.11471351534128185,0.09055161774158473,0.13670828640460964,0.0,30
internal,rand_pair,Your random-pair,random,10,2048.0,0.05,,0.13074121688803034,0.1275944724678993,0.11728636771440501,0.16215474307537076,0.0,30
internal,std_L1,Your L1 mixed,random,10,512.0,0.05,,0.1149588057895501,0.1172016248106956,0.09003751873970026,0.1406999230384826,0.0,30
internal,std_L1,Your L1 mixed,random,10,2048.0,0.05,,0.13021665523449577,0.1300293996930122,0.11687748730182641,0.1570808261632919,0.0,30
internal,topK20,Your TopK mixed,random,10,512.0,0.05,,0.11813895955681798,0.11636266559362407,0.10035232454538341,0.14849244058132166,0.0,30
internal,topK20,Your TopK mixed,random,10,2048.0,0.05,,0.12957664052645362,0.12839859426021574,0.10836145579814908,0.1500402420759201,0.0,30
public_sae,public_sae,Public JB SAE,random,10,,,blocks.11.hook_resid_pre,0.1423449546098709,0.14272325485944748,0.12695135176181793,0.16203708946704865,0.0,10
