source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score
internal,delta,Your paired delta,random,8,2,0.05,2048,9,random_9,0.487876170873642
internal,rand_pair,Your random-pair,random,8,2,0.05,2048,0,random_0,0.1355664849281311
internal,rand_pair,Your random-pair,random,8,2,0.05,2048,1,random_1,0.11048202812671656
internal,rand_pair,Your random-pair,random,8,2,0.05,2048,2,random_2,0.11456794291734691
internal,rand_pair,Your random-pair,random,8,2,0.05,2048,3,random_3,0.12348325401544566
internal,rand_pair,Your random-pair,random,8,2,0.05,2048,4,random_4,0.13515774905681605
internal,rand_pair,Your random-pair,random,8,2,0.05,2048,5,random_5,0.15319293737411496
internal,rand_pair,Your random-pair,random,8,2,0.05,2048,6,random_6,0.1518221467733383
internal,rand_pair,Your random-pair,random,8,2,0.05,2048,7,random_7,0.1380257427692413
internal,rand_pair,Your random-pair,random,8,2,0.05,2048,8,random_8,0.1484714180231094
internal,rand_pair,Your random-pair,random,8,2,0.05,2048,9,random_9,0.12334316223859784
internal,std_L1,Your L1 mixed,random,8,2,0.05,512,0,random_0,0.14902143478393554
internal,std_L1,Your L1 mixed,random,8,2,0.05,512,1,random_1,0.1158312007784843
internal,std_L1,Your L1 mixed,random,8,2,0.05,512,2,random_2,0.12078272998332973
internal,std_L1,Your L1 mixed,random,8,2,0.05,512,3,random_3,0.11209429800510402
internal,std_L1,Your L1 mixed,random,8,2,0.05,512,4,random_4,0.1312523990869522
internal,std_L1,Your L1 mixed,random,8,2,0.05,512,5,random_5,0.10386362522840493
internal,std_L1,Your L1 mixed,random,8,2,0.05,512,6,random_6,0.1176777765154838
internal,std_L1,Your L1 mixed,random,8,2,0.05,512,7,random_7,0.14932095110416407
internal,std_L1,Your L1 mixed,random,8,2,0.05,512,8,random_8,0.0986631333827972
internal,std_L1,Your L1 mixed,random,8,2,0.05,512,9,random_9,0.11106439977884289
internal,topK20,Your TopK mixed,random,8,2,0.05,512,0,random_0,0.1085340678691864
internal,topK20,Your TopK mixed,random,8,2,0.05,512,1,random_1,0.10271536856889721
internal,topK20,Your TopK mixed,random,8,2,0.05,512,2,random_2,0.1112666949629783
internal,topK20,Your TopK mixed,random,8,2,0.05,512,3,random_3,0.10789465010166163
internal,topK20,Your TopK mixed,random,8,2,0.05,512,4,random_4,0.11931086927652357
internal,topK20,Your TopK mixed,random,8,2,0.05,512,5,random_5,0.10976694971323009
internal,topK20,Your TopK mixed,random,8,2,0.05,512,6,random_6,0.13868937194347378
internal,topK20,Your TopK mixed,random,8,2,0.05,512,7,random_7,0.09981436729431148
internal,topK20,Your TopK mixed,random,8,2,0.05,512,8,random_8,0.11521139740943906
internal,topK20,Your TopK mixed,random,8,2,0.05,512,9,random_9,0.10631956458091733
internal,delta,Your paired delta,random,8,2,0.05,512,0,random_0,0.9940467119216919
internal,delta,Your paired delta,random,8,2,0.05,512,1,random_1,0.9025606274604797
internal,delta,Your paired delta,random,8,2,0.05,512,2,random_2,0.995415210723877
internal,delta,Your paired delta,random,8,2,0.05,512,3,random_3,0.9309394836425782
internal,delta,Your paired delta,random,8,2,0.05,512,4,random_4,0.9538998484611512
internal,delta,Your paired delta,random,8,2,0.05,512,5,random_5,0.9457180261611938
internal,delta,Your paired delta,random,8,2,0.05,512,6,random_6,0.9549303531646729
internal,delta,Your paired delta,random,8,2,0.05,512,7,random_7,0.9483821988105774
internal,delta,Your paired delta,random,8,2,0.05,512,8,random_8,0.9271102547645569
internal,delta,Your paired delta,random,8,2,0.05,512,9,random_9,0.9519001841545105
internal,rand_pair,Your random-pair,random,8,2,0.05,512,0,random_0,0.1361233294010162
internal,rand_pair,Your random-pair,random,8,2,0.05,512,1,random_1,0.10484871119260783
internal,rand_pair,Your random-pair,random,8,2,0.05,512,2,random_2,0.12189676910638807
internal,rand_pair,Your random-pair,random,8,2,0.05,512,3,random_3,0.10470713824033732
internal,rand_pair,Your random-pair,random,8,2,0.05,512,4,random_4,0.10874745994806283
internal,rand_pair,Your random-pair,random,8,2,0.05,512,5,random_5,0.118473245203495
internal,rand_pair,Your random-pair,random,8,2,0.05,512,6,random_6,0.11700468510389321
internal,rand_pair,Your random-pair,random,8,2,0.05,512,7,random_7,0.1443299442529678
internal,rand_pair,Your random-pair,random,8,2,0.05,512,8,random_8,0.11425950378179546
internal,rand_pair,Your random-pair,random,8,2,0.05,512,9,random_9,0.11061782687902448
