source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,2048.0,3,music,0.41076961159706105,,
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,2048.0,4,weather,0.49308180809020985,,
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,2048.0,5,food,0.2142624795436859,,
internal,delta,Your paired delta,strong,10,2.0,0.05,2048.0,0,sports,0.6407336950302124,,
internal,delta,Your paired delta,strong,10,2.0,0.05,2048.0,1,technology,0.7443595647811889,,
internal,delta,Your paired delta,strong,10,2.0,0.05,2048.0,2,science,0.680540657043457,,
internal,delta,Your paired delta,strong,10,2.0,0.05,2048.0,3,music,0.6230204701423645,,
internal,delta,Your paired delta,strong,10,2.0,0.05,2048.0,4,weather,0.6969677686691285,,
internal,delta,Your paired delta,strong,10,2.0,0.05,2048.0,5,food,0.6093113541603088,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,2048.0,0,sports,0.22071005702018737,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,2048.0,1,technology,0.21654549241065973,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,2048.0,2,science,0.22972244322299953,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,2048.0,3,music,0.18368918597698208,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,2048.0,4,weather,0.20052717924118038,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,2048.0,5,food,0.1524063557386398,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,512.0,0,sports,0.2529283225536346,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,512.0,1,technology,0.2989014685153961,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,512.0,2,science,0.31856144666671754,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,512.0,3,music,0.30984553694725037,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,512.0,4,weather,0.3400411903858185,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,512.0,5,food,0.248157387971878,,
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,512.0,0,sports,0.353795975446701,,
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,512.0,1,technology,0.30837106704711914,,
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,512.0,2,science,0.39904225468635557,,
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,512.0,3,music,0.25383503139019015,,
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,512.0,4,weather,0.44870635867118835,,
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,512.0,5,food,0.19320389926433562,,
internal,delta,Your paired delta,strong,10,2.0,0.05,512.0,0,sports,0.9934891819953918,,
internal,delta,Your paired delta,strong,10,2.0,0.05,512.0,1,technology,0.9948987007141114,,
internal,delta,Your paired delta,strong,10,2.0,0.05,512.0,2,science,0.9970245003700257,,
internal,delta,Your paired delta,strong,10,2.0,0.05,512.0,3,music,0.9959789872169494,,
internal,delta,Your paired delta,strong,10,2.0,0.05,512.0,4,weather,0.9987633228302002,,
internal,delta,Your paired delta,strong,10,2.0,0.05,512.0,5,food,0.9805601358413696,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,512.0,0,sports,0.283159339427948,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,512.0,1,technology,0.26376969218254087,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,512.0,2,science,0.2896287560462952,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,512.0,3,music,0.208825272321701,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,512.0,4,weather,0.25894951820373535,,
internal,rand_pair,Your random-pair,strong,10,2.0,0.05,512.0,5,food,0.20069354772567743,,
public_sae,public_sae,Public JB SAE,strong,10,,,,0,sports,0.41105157136917114,blocks.11.hook_resid_pre,11424.0
public_sae,public_sae,Public JB SAE,strong,10,,,,1,technology,0.49090468883514404,blocks.11.hook_resid_pre,17290.0
public_sae,public_sae,Public JB SAE,strong,10,,,,2,science,0.6191614270210266,blocks.11.hook_resid_pre,6000.0
public_sae,public_sae,Public JB SAE,strong,10,,,,3,music,0.6191049218177795,blocks.11.hook_resid_pre,9020.0
public_sae,public_sae,Public JB SAE,strong,10,,,,4,weather,0.5470643639564514,blocks.11.hook_resid_pre,3331.0
public_sae,public_sae,Public JB SAE,strong,10,,,,5,food,0.6938856840133667,blocks.11.hook_resid_pre,7851.0
