source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,delta,Your paired delta,random,10,2.0,0.05,2048.0,6,random_6,0.5488043069839478,,
internal,delta,Your paired delta,random,10,2.0,0.05,2048.0,7,random_7,0.48031545281410215,,
internal,delta,Your paired delta,random,10,2.0,0.05,2048.0,8,random_8,0.6631577253341675,,
internal,delta,Your paired delta,random,10,2.0,0.05,2048.0,9,random_9,0.5809654831886292,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,2048.0,0,random_0,0.1270303815603256,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,2048.0,1,random_1,0.1300669640302658,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,2048.0,2,random_2,0.1274253189563751,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,2048.0,3,random_3,0.15392710268497467,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,2048.0,4,random_4,0.12444150447845455,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,2048.0,5,random_5,0.11799628287553784,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,2048.0,6,random_6,0.11728636771440501,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,2048.0,7,random_7,0.12203893512487407,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,2048.0,8,random_8,0.13232237994670865,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,2048.0,9,random_9,0.16215474307537076,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,512.0,0,random_0,0.10142085552215571,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,512.0,1,random_1,0.11718592643737788,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,512.0,2,random_2,0.11875623613595958,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,512.0,3,random_3,0.107360428571701,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,512.0,4,random_4,0.1324432343244552,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,512.0,5,random_5,0.09003751873970026,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,512.0,6,random_6,0.12639199197292322,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,512.0,7,random_7,0.09755634367465968,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,512.0,8,random_8,0.10530136525630947,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,512.0,9,random_9,0.11690904349088664,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,512.0,0,random_0,0.1388420909643173,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,512.0,1,random_1,0.11221662014722822,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,512.0,2,random_2,0.10763013064861293,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,512.0,3,random_3,0.11907239705324169,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,512.0,4,random_4,0.1132910102605819,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,512.0,5,random_5,0.13152210414409635,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,512.0,6,random_6,0.1207357734441757,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,512.0,7,random_7,0.11610475331544871,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,512.0,8,random_8,0.1168214306235313,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,512.0,9,random_9,0.11024255305528638,,
internal,delta,Your paired delta,random,10,2.0,0.05,512.0,0,random_0,0.9686394572257996,,
internal,delta,Your paired delta,random,10,2.0,0.05,512.0,1,random_1,0.9349831581115723,,
internal,delta,Your paired delta,random,10,2.0,0.05,512.0,2,random_2,0.9852193355560303,,
internal,delta,Your paired delta,random,10,2.0,0.05,512.0,3,random_3,0.9635392904281617,,
internal,delta,Your paired delta,random,10,2.0,0.05,512.0,4,random_4,0.989999508857727,,
internal,delta,Your paired delta,random,10,2.0,0.05,512.0,5,random_5,0.9999562740325928,,
internal,delta,Your paired delta,random,10,2.0,0.05,512.0,6,random_6,0.9110775709152221,,
internal,delta,Your paired delta,random,10,2.0,0.05,512.0,7,random_7,0.97934650182724,,
internal,delta,Your paired delta,random,10,2.0,0.05,512.0,8,random_8,0.9841772794723511,,
internal,delta,Your paired delta,random,10,2.0,0.05,512.0,9,random_9,0.9418563365936279,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,512.0,0,random_0,0.11008936762809747,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,512.0,1,random_1,0.13670828640460964,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,512.0,2,random_2,0.09986746311187741,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,512.0,3,random_3,0.1275240689516067,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,512.0,4,random_4,0.1305818885564804,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,512.0,5,random_5,0.09501878470182415,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,512.0,6,random_6,0.11378636658191676,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,512.0,7,random_7,0.10383357554674141,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,512.0,8,random_8,0.0928792297840118,,
internal,rand_pair,Your random-pair,random,10,2.0,0.05,512.0,9,random_9,0.13328188359737392,,
public_sae,public_sae,Public JB SAE,random,10,,,,0,random_0,0.1437648981809616,blocks.11.hook_resid_pre,907.0
public_sae,public_sae,Public JB SAE,random,10,,,,1,random_1,0.12695135176181793,blocks.11.hook_resid_pre,22870.0
public_sae,public_sae,Public JB SAE,random,10,,,,2,random_2,0.14747245609760284,blocks.11.hook_resid_pre,11057.0
public_sae,public_sae,Public JB SAE,random,10,,,,3,random_3,0.14271898567676544,blocks.11.hook_resid_pre,15567.0
public_sae,public_sae,Public JB SAE,random,10,,,,4,random_4,0.14272752404212952,blocks.11.hook_resid_pre,1392.0
public_sae,public_sae,Public JB SAE,random,10,,,,5,random_5,0.16203708946704865,blocks.11.hook_resid_pre,11417.0
public_sae,public_sae,Public JB SAE,random,10,,,,6,random_6,0.14660726487636566,blocks.11.hook_resid_pre,4579.0
public_sae,public_sae,Public JB SAE,random,10,,,,7,random_7,0.1319376677274704,blocks.11.hook_resid_pre,23317.0
public_sae,public_sae,Public JB SAE,random,10,,,,8,random_8,0.13970397412776947,blocks.11.hook_resid_pre,4434.0
public_sae,public_sae,Public JB SAE,random,10,,,,9,random_9,0.1395283341407776,blocks.11.hook_resid_pre,10449.0
